IcfaiTech  Dehradun,ICFAI University  Dehradun,13,Dehradun,Uttarakhand,Cythia,(833) 811-5535,9,21,22 Sirius Close  Hull  Kingston upon Hull HU3 3QS  INDIA,73.13927,-104.31292,id@justo.net,,Cythia,2010
Jamia Millia Islamia,Jamia Millia Islamia,28,Delhi,Delhi,Thurman,(833) 023-4705,10,5,294 Cottingham Road  Hull  Kingston upon Hull HU6 8QA  INDIA,-67.11095,-7.6068,erat.vel.pede@musProin.net,,Thurman,1998
Indian School of Mines  Dhanbad,Indian School of Mines  Dhanbad,25,Dhanbad,Bihar,Vita,(855) 917-9529,11,3,53 Broad Street  Alresford  Hampshire SO24 9DA  INDIA,17.25419,-135.67417,egestas@augueac.edu,,Vita,1989
Birsa Institute of Technology Sindri,Vinoba Bhave University,63,Dhanbad,Bihar,Shavonne,(899) 234-0122,11,3,93 Gray's Inn Road  London WC1X 8TX  INDIA,85.65325,-114.95695,semper@dictummagna.co.uk,,Shavonne,1978
National Institute of Technology  Durgapur,National Institute of Technology  Durgapur,38,Durgapur,West Bengal,Hiram,(822) 648-7006,12,22,91 Alexandra Road  Southend-on-Sea  Southend-on-Sea SS1 1HD  INDIA,-30.53908,159.27981,tellus.imperdiet@Sed.ca,,Hiram,1998
Dhirubhai Ambani Institute of Information and Communication Technology,Dhirubhai Ambani Institute of Information and Communication Technology,9,Gandhinagar,Gujarat,Lara,(899) 440-5682,13,6,11 Langside Drive  Kilbarchan  Johnstone  Renfrewshire PA10 2EL  INDIA,85.46831,14.4401,pharetra@rutrum.edu,,Lara,1852
Dhirubhai Ambani Institute of Information and Communication Technology II,DAIICT Ghandinagar,7,Gandhinagar,Gujarat,Annette,(855) 444-2472,13,6,15 Kirklevington Grange  Yarm  Stockton-on-Tees TS15 9LL  INDIA,-76.355,148.80733,arcu.iaculis.enim@Morbi.net,,Annette,1936
Indian Institute of Technology  Guwahati,Indian Institute of Technology Guwahati,20,Guwahati,Assam,Ginette,(899) 454-8620,14,2,44 Beacon Oak Road  Tenterden  Kent TN30 6RY  INDIA,-52.74088,-150.48205,feugiat.Sed.nec@egestasnuncsed.org,,Ginette,1978
National Institute of Technology  Hamirpur,National Institute of Technology  Hamirpur,39,Hamirpur,Himachal Pradesh,Kary,(844) 050-4028,15,8,8 Wellesley Close  Bowerhill  Melksham  Wiltshire SN12 6XT  INDIA,-81.34156,45.63871,ac@veliteget.org,,Kary,1997
International Institute of Information Technology  Hyderabad,International Institute of Information Technology Hyderabad,26,Hyderabad,Andhra Pradesh,Denny,(811) 313-2295,16,1,4 Euston Road  Croydon  Greater London CR0 3NR  INDIA,28.93778,-61.35657,vitae.sodales@convallis.com,,Denny,1948
Gokaraju Rangaraju Institute of Engineering and Technology,Jawaharlal Nehru Technological University  Hyderabad,29,Hyderabad,Andhra Pradesh,Abbey,(899) 231-8438,16,1,5 Bexhill Avenue  Timperley  Altrincham WA15 7RT  INDIA,35.92175,-138.36257,Lorem.ipsum.dolor@euarcuMorbi.org,,Abbey,1989
Muffakham Jah College of Engineering and Technology,Muffakham Jah College of Engineering and Technology,34,Hyderabad,Andhra Pradesh,Louis,(811) 435-0461,16,1,1-2 School Bank  Hollington  Stoke-on-Trent  Staffordshire ST10 4HH  INDIA,-79.11349,143.3109,ac.risus.Morbi@ornare.net,,Louis,1987
Chaitanya Bharathi Institute of Technology,Osmania University,47,Hyderabad,Andhra Pradesh,Teresa,(855) 432-0127,16,1,1 Chelmsford Terrace  Bradford  West Yorkshire BD3 8AH  INDIA,88.13778,-177.18776,ut.eros@Donecfelisorci.co.uk,,Teresa,1978
National Institute of Technology  Jamshedpur,National Institute of Technology  Jamshedpur,40,Jamshedpur,Jharkhand,Cristina,(833) 767-1779,17,10,33 Netton Close  Plymouth  Plymouth PL9  INDIA,-17.57971,-156.87984,vehicula.Pellentesque@Sed.co.uk,,Cristina,1978
MBM Engineering College,MBM Engineering College,32,Jodhpur,Rajasthan,Berenice,(811) 560-6500,18,17,28 Shaftesbury Drive  Hoyland  Barnsley  South Yorkshire S74 0DG  INDIA,-72.5147,-143.55992,commodo.ipsum.Suspendisse@elit.ca,,Berenice,1978
Indian Institute of Technology  Kanpur,Indian Institute of Technology Kanpur,21,Kanpur,UP,Yuri,(899) 178-4044,19,20,8A Kings Road  Bungay  Suffolk NR35 1RR  INDIA,-47.04528,84.45594,neque@non.net,,Yuri,2011
Harcourt Butler Technological Institute,Uttar Pradesh Technical University,61,Kanpur,UP,Belkis,(899) 213-7956,19,20,3 Hawthorn Grove  Wilmslow  Cheshire East SK9 5DE  INDIA,-39.443,-106.92992,pede@Nullamlobortisquam.co.uk,,Belkis,1948
Indian Institute of Technology  Kharagpur,Indian Institute of Technology Kharagpur,22,Kharagpur,West Bengal,Carli,(899) 651-4716,20,22,21 Mount Park  Carshalton  Greater London SM5 4PR  INDIA,-2.12388,-123.96329,risus.quis.diam@odiosemper.edu,,Carli,1852
Rajagiri School of Engineering & Technology,Mahatma Gandhi University,30,Kochi,Kerala,Lara,(899) 092-8266,21,12,16A Church House Road  Berrow  Burnham-on-Sea  Somerset TA8 2NG  INDIA,-4.43666,-120.74987,In.faucibus.Morbi@nonummy.co.uk,,Lara,2010
Model Engineering College,Cochin University of Science and Technology,5,Kochi,Kerala,Mozell,(811) 769-0335,21,12,9 Saint Cuthberts Garth  Bamburgh  Northumberland NE69 7BY  INDIA,-57.73857,-163.14862,mi.ac.mattis@anteiaculisnec.ca,,Mozell,1852
Indian Institute of Engineering Science and Technology  Shibpur,Indian Institute of Engineering Science and Technology  Shibpur,14,Kolkata,West Bengal,Delsie,(822) 666-1051,22,22,95 Hocombe Road  Chandler's Ford  Eastleigh  Hampshire SO53 5QB  INDIA,20.86723,124.08774,nisl.arcu@ligulatortordictum.org,,Delsie,1998
Jadavpur University,Jadavpur University  Kolkata,27,Kolkata,West Bengal,Chrystal,811) 268-2782,22,22,38 Orchard Road  Burnham-on-Crouch  Essex CM0 8LD  INDIA,-36.91495,-10.72892,tristique.senectus@turpisvitaepurus.com,,Chrystal,2010
West Bengal University of Technology,West Bengal University of Technology,66,Kolkata,West Bengal,Carli,(833) 932-9197,22,22,11 Langside Drive  Kennoway  Leven  Fife KY8 5LG  INDIA,34.04734,-80.92447,dictum.eu@mieleifend.ca,,Carli,1998
National Institute of Technology  Calicut,National Institute of Technology  Calicut,37,Kozhikode,Kerala,Haley,(822) 458-8202,23,12,Snowdonia  B4418  Caernarfon  Gwynedd LL54 6BB  INDIA,34.53012,13.23485,ultricies@dictumaugue.edu,,Haley,2010
National Institute of Technology  Kurukshetra,National Institute of Technology  Kurukshetra,41,Kurukshetra,Haryana,Gale,(899) 279-5721,24,7,4 Powell Close  Bishop's Tachbrook  Leamington Spa  Warwickshire CV33 9PX  INDIA,-26.32247,-115.71456,magna.a@Nulla.edu,,Gale,1956
Guru Nanak Dev Engineering College,Punjab Technical University,50,Ludhiana,Punjab,Shantelle,(811) 895-5787,25,16,North Worcestershire Path  Hagley  Stourbridge  Worcestershire DY8 2XP  INDIA,44.18133,78.78709,Sed@sedturpis.com,,Shantelle,1935
Thiagarajar College of Engineering,Anna University of Technology  Chennai,2,Madurai,Tamil Nadu,Normand,(855) 864-5277,26,18,148B Chesterfield Road North  Mansfield  Nottinghamshire NG19 7JD  INDIA,-10.18944,21.85501,lobortis.ultrices@ipsum.net,,Normand,2011
Manipal Institute of Technology,Manipal University,31,Manipal,Karnataka,Allyn,(844) 066-8425,27,11,13 Castle Court  Ventnor  Isle of Wight PO38 1UE  INDIA,-48.53202,-80.03683,id@Aliquam.ca,,Allyn,1936
Indian Institute of Technology  Bombay,Indian Institute of Technology Bombay,18,Mumbai,Maharashtra,Herta,(811) 921-0720,28,14,South Downs National Park  1 Old Cottages  Ringmer  Lewes  East Sussex BN8 5UB  INDIA,7.55558,-151.6928,orci.consectetuer@arcuiaculisenim.ca,,Herta,1978
Thadomal Shahani Engineering College,University of Mumbai,58,Mumbai,Maharashtra,Cythia,(811) 315-6052,28,14,Janson Street  Sheffield  South Yorkshire S9 2FS  INDIA,-12.99501,-91.48447,velit.Sed@morbitristiquesenectus.org,,Cythia,1936
Veermata Jijabai Technological Institute,University of Mumbai,59,Mumbai,Maharashtra,Edna,(822) 592-6442,28,14,Llanidloes Road  Newtown  Powys SY16 1HH  INDIA,46.61582,-73.09502,mauris.elit@amet.edu,,Edna,1936
National Institute of Engineering,Visvesvaraya Technological University,65,Mysore,Karnataka,Lillia,(844) 461-1161,29,11,Lake District National Park  11 School Knott Close  Windermere  Cumbria LA23 2DZ  INDIA,63.06673,129.68052,lobortis.mauris.Suspendisse@Nuncut.ca,,Lillia,1989
Visvesvaraya National Institute of Technology,Visvesvaraya National Institute of Technology,64,Nagpur,Maharashtra,Ginette,(833) 709-0437,30,14,87 Giblands Park  Okehampton  Devon EX20 1QE  INDIA,89.23067,-155.7513,nunc@cursus.edu,,Ginette,1935
Delhi Technological University,Delhi Technological University,8,New Delhi,Delhi,Salome,(844) 491-0512,31,5,1510 Nitshill Road  Thornliebank  Glasgow  Glasgow City G46 8QF  INDIA,31.34978,-30.35884,Curae.Donec@Pellentesquetincidunttempus.org,,Salome,2011
Maharaja Agrasen Institute of Technology,Guru Gobind Singh Indraprastha University,12,New Delhi,Delhi,Yee,(844) 597-3799,31,5,19 Butts Road  Telford  Telford and Wrekin TF5 0NH  INDIA,-21.1208,-28.46517,fermentum.vel.mauris@pulvinar.edu,,Yee,1956
Indian Institute of Technology  Delhi,Indian Institute of Technology Delhi,19,New Delhi,Delhi,Leandro,(855) 854-3770,31,5,A158  Spilsby  Lincolnshire PE23 5SB  INDIA,-55.04577,51.7646,erat.Vivamus.nisi@luctusaliquetodio.co.uk,,Leandro,1936
Netaji Subhas Institute of Technology,University of Delhi,56,New Delhi,Delhi,Sina,(822) 644-7358,31,5,3 Serlby Drive  Harthill  Sheffield  South Yorkshire S26 7UJ  INDIA,-25.95396,165.4104,ut@erat.ca,,Sina,1852
Thapar University,Thapar University,55,Patiala,Punjab,Delsie,(833) 257-0590,32,16,15-31 Waterloo Street  Londonderry  Derry BT48  INDIA,41.36278,-27.14995,velit.Quisque.varius@estvitaesodales.edu,,Delsie,1978
BITS Pilani,BITS Pilani,4,Pilani,Rajasthan,Sina,(855) 411-7669,33,17,1 Mellerstain White Cottages  Gordon  Scottish Borders TD3 6LG  INDIA,-82.00612,54.45458,elit.erat@porttitor.co.uk,,Sina,1956
Vishwakarma Institute of Technology,Autonomous,3,Pune,Maharashtra,Leandro,(822) 523-7012,34,14,16 Bishop's Path  Burnham-on-Sea  Somerset TA8 1RF  INDIA,-12.52319,81.81987,dis.parturient@PhasellusornareFusce.edu,,Leandro,1989
College of Engineering Pune,College of Engineering  Pune,6,Pune,Maharashtra,Mariette,(822) 561-2703,34,14,A7  Heriot  Scottish Borders EH38 5YR  INDIA,-37.34851,-109.9268,dui@rutrumFusce.edu,,Mariette,1936
Maharashtra Institute of Technology,University of Pune,60,Pune,Maharashtra,Isabell,(822) 221-9373,34,14,4 Hambleton Way  Winsford  Cheshire West and Chester CW7 1QH  INDIA,2.67687,132.23068,dui@vestibulumneque.com,,Isabell,1978
Birla Institute of Technology,BITS Pilani,4,Ranchi,Jharkhand,Vanetta,(822) 538-5718,35,10,29-33 Latham Road  Bexleyheath  Greater London DA6  INDIA,-80.78605,129.7086,varius.Nam.porttitor@natoque.edu,,Vanetta,1997
Indian Institute of Technology  Roorkee,Indian Institute of Technology Roorkee,24,Roorkee,UP,Miguel,(855) 691-2112,36,20,Chisbury Lane  Marlborough  Wiltshire SN8 3JA  INDIA,23.28164,-7.83541,ut.dolor.dapibus@feugiatmetussit.net,,Miguel,1987
National Institute of Technology  Rourkela,National Institute of Technology  Rourkela,42,Rourkela,Orissa,Delinda,(844) 602-6080,37,15,93 Brockhurst Road  Birmingham  West Midlands B36 8JD  INDIA,-58.65706,-179.94317,nascetur@ipsumPhasellus.net,,Delinda,1978
National Institute of Technology  Silchar,National Institute of Technology  Silchar,43,Silchar,Assam,Melva,(899) 415-4431,38,2,7 Shepley Close  DINDIAinfield  DINDIAinfield SK16 4DA  INDIA,-26.57975,122.74422,Phasellus.vitae@nislelementumpurus.org,,Melva,1936
Mepco Schlenk Engineering College,Anna University of Technology Tirunelveli,2,Sivakasi,Tamil Nadu,Breanna,(899) 074-7744,39,18,15 Endfield Road  Bournemouth  Bournemouth BH9 1TL  INDIA,-48.19072,-52.26896,magna.Lorem@nullaante.ca,,Breanna,2011
Walchand Institute of Technology,,53,Solapur,Maharashtra,Yuri,(899) 306-8595,40,14,124 Lime Kiln  Royal Wootton Bassett  Swindon  Wiltshire SN4 7HQ  INDIA,50.2154,144.59897,risus.varius@ami.ca,,Yuri,2010
National Institute of Technology Srinagar,National Institute of Technology Srinagar,36,Srinagar,Jammu And Kashmir,Abby,(844) 648-0319,41,9,Rising Lane  Solihull  Warwickshire B94 6HR  INDIA,2.64101,129.47936,Sed@necmalesuada.net,,Abby,1948
Sardar Vallabhbhai National Institute of Technology  Surat,Sardar Vallabhbhai National Institute of Technology  Surat,52,Surat,Rajasthan,Abbey,(833) 573-1792,42,17,29 Beverley Drive  Choppington  Northumberland NE62 5XZ  INDIA,-84.36204,-67.04669,nunc@dolor.net,,Abbey,1978
National Institute of Technology Karnataka,National Institute of Technology Karnataka,35,Surathkal,Karnataka,Leia,(811) 309-7341,43,11,14 Hollins Close  Ashton-in-Makerfield  Wigan  Merseyside WN4 0RR  INDIA,-58.15844,14.82851,nec@consectetueradipiscing.net,,Leia,1935
National Institute of Technology  Tiruchirappalli,National Institute of Technology  Tiruchirappalli,44,Tiruchirappalli,Tamil Nadu,Vanetta,(855) 083-7529,44,18,A890  Highland  INDIA,-3.12429,61.05451,enim.condimentum@eros.net,,Vanetta,1978
College of Engineering Trivandrum,University of Kerala,57,Trivandrum,Kerala,Nikki,(899) 480-5037,45,12,13 Heathway  Croydon  Greater London CR0 8PZ  INDIA,-65.62662,-104.39795,lectus.pede@imperdietornare.co.uk,,Nikki,1978
Indian Institute of Technology (BHU)  Varanasi,Indian Institute of Technology (BHU) Varanasi,16,Varanasi,UP,Joannie,(822) 374-2317,46,20,Academy Street  Kilmarnock  East Ayrshire KA1  INDIA,-48.287,-143.1095,sed.est@malesuada.ca,,Joannie,1978
Vellore Institute of Technology,Vellore Institute of Technology,62,Vellore,Karnataka,Herta,(822) 007-6987,47,11,4 Wheel Drive Centre  Wardington  Banbury  Oxfordshire OX17 1SH  INDIA,20.28354,20.97178,suscipit.est@feugiatSed.net,,Herta,1987
National Institute of Technology  Warangal,National Institute of Technology  Warangal,45,Warangal,Telangana,Shavonne,(811) 093-7152,48,19,Yew Street  Stockport  Stockport SK4 2HD  INDIA,56.81349,162.13367,eu.erat.semper@est.net,,Shavonne,2011
